kode_kab,nama_resmi,MMI,SP2020_neto_norm,neto_LP,masuk_LP,keluar_LP,MPI_raw,MPI,rank_MPI,short,lon,lat,ipm,gini,tpt,tpak,miskin,pdrb_kapita,pdrb_adhk,tenaker_se2016,usaha_se2016,growth_pdrb,pop_est,net_rate_permil,in_rate_permil,out_rate_permil,lisa_q_raw,lisa_p_raw,lisa_I_raw,lisa_q_rate,lisa_p_rate,lisa_I_rate,pop_sp2020,net_rate,in_rate,out_rate,net_rate_norm,rank_raw,rank_rate,rank_diff
3523,Kabupaten Tuban,17.44,26.46,-71089,68238,139327,17.44,17.44,11,Tuban,111.9,-6.9,70.76333333333334,0.3426666666666667,4.54,74.04333333333334,15.413333333333332,64617.25,48937.25,326659,115094,4.372284157752183,757340338.6866511,-0.0938666493366504,0.0901021595103934,0.1839688088470439,3,0.043,0.0243158661137269,3,0.037,0.0409230814050707,1177120,-60.39231344297948,57.97030039418241,118.36261383716187,42.69148998290338,19,19,0
3522,Kabupaten Bojonegoro,16.35,17.01,-147153,68455,215608,16.35,16.35,12,Bojonegoro,111.88,-7.15,71.21666666666668,0.301,4.713333333333334,72.76333333333334,12.553333333333333,75374.75,62546.8,339357,124616,2.4728525206812817,829811044.1494001,-0.1773331423310225,0.0824946841605006,0.2598278264915232,3,0.072,0.3102511256846364,3,0.06,0.3064256903902059,1235924,-119.06314627760284,55.38770992391117,174.45085620151403,31.124817523562587,25,24,1
3509,Kabupaten Jember,15.12,8.85,-212841,93965,306806,15.12,15.12,13,Jember,113.67,-8.17,69.80666666666667,0.327,4.503333333333333,70.23666666666666,9.77,35550.65,58575.55,694456,282224,4.927484514694643,1647664669.984937,-0.1291773768517752,0.0570292012153535,0.1862065780671286,2,0.262,-0.2898909532811755,2,0.215,-0.0818573678564687,2432397,-87.50257462083698,38.63061827489509,126.13319289573208,37.34683240465932,35,23,12
3518,Kabupaten Nganjuk,14.29,13.19,-177920,83920,261840,14.29,14.29,14,Nganjuk,111.89,-7.64,73.89333333333333,0.311,4.8,65.97333333333334,11.146666666666668,28749.9,20070.9,270216,117904,5.400343853616592,698120689.1154404,-0.2548556471309209,0.1202084414749712,0.3750640886058921,3,0.285,0.1862810877713194,3,0.37,0.1156074418403586,1026979,-173.24599626672017,81.71540021753123,254.96139648425137,20.44292929292757,28,31,-3
3508,Kabupaten Lumajang,14.16,24.48,-86956,54345,141301,14.16,14.16,15,Lumajang,113.22,-8.14,68.5,0.3496666666666666,4.05,68.14333333333333,9.346666666666666,33780.9,24217.5,285624,118158,5.001989283265484,716899194.5152438,-0.1212945985506348,0.075805636853515,0.1971002354041499,2,0.319,-0.023183438085616,2,0.124,-0.1084535070054986,1033723,-84.11924664537793,52.57211071050949,136.69135735588742,38.01383923963926,20,21,-1
3503,Kabupaten Trenggalek,13.86,20.6,-118203,49374,167577,13.86,13.86,16,Trenggalek,111.71,-8.05,71.21333333333332,0.334,4.473333333333334,75.03,11.243333333333334,29495.25,13878.75,218606,94129,4.921966128722671,470541866.91077375,-0.2512061270467441,0.1049300890570116,0.3561362161037558,3,0.073,0.1965733668746023,3,0.087,0.4539810274443998,685595,-172.4093670461424,72.01627783166447,244.4256448778069,20.60786671918865,23,30,-7
3576,Kota Mojokerto,13.43,37.56,18319,39238,20919,13.43,13.43,17,Kota Mojokerto,112.43,-7.47,80.14333333333333,0.356,5.55,69.66666666666667,6.046666666666667,57854.75,5326.3,58382,16893,2.7907862173995883,92063313.7296419,0.1989826268234985,0.4262066876631057,0.2272240608396072,1,0.024,0.5504845875820661,1,0.067,0.9382801639699024,130694,140.1671079008983,300.2280135277824,160.06090562688416,82.23081511671289,9,3,6
3572,Kota Blitar,13.32,35.3,109,35193,35084,13.32,13.32,18,Kota Blitar,112.17,-8.1,80.06666666666668,0.3826666666666667,5.746666666666667,70.0,7.52,53558.350000000006,5318.700000000001,69887,22491,5.2918017600741045,99306644.06203702,0.0010976103465132,0.3543871644480794,0.3532895541015661,4,0.387,-0.0795324669945355,4,0.499,-0.0089708511406896,144613,0.7537358328780953,243.35986391264964,242.60612807977157,54.74613945669072,11,11,0
3571,Kota Kediri,12.36,35.94,5306,67002,61696,12.36,12.36,19,Kota Kediri,112.01,-7.82,80.08,0.3816666666666666,4.9366666666666665,69.70333333333333,7.376666666666668,531962.3999999999,90769.3,155216,39139,1.9177551964692447,170631044.6001447,0.0310963342716094,0.3926718034048956,0.3615754691332861,4,0.059,-0.2858539941919517,4,0.11,-0.3027007949039555,292544,18.137442572741197,229.03221395755853,210.8947713848173,58.173253616736766,10,10,0
3514,Kabupaten Pasuruan,11.75,34.13,-9325,114634,123959,11.75,11.75,20,Pasuruan,112.91,-7.65,71.24666666666667,0.3453333333333333,5.806666666666668,70.14333333333333,9.3,109766.25,116302.35,536644,179633,5.205461566217124,1059545625.3629872,-0.0088009423820756,0.1081916599492615,0.1169926023313372,1,0.002,0.5189479075711684,1,0.003,0.4403519966476378,1617155,-5.766299457998769,70.88621684377812,76.65251630177688,53.46074586349785,14,14,0
